No.,Source Model,Method Name,Relationship Type,Related Model,Pivot Table,Custom FK,Eager-Load Hits,Access Pattern,Write Ops Hits (related model),Volatility (related model),Static Feature Notes
53,Tugas,sekolah,belongsTo,Sekolah,,,14,Frequently eager-loaded,3,Low (admin-only occasional edits),Parent lookup — usually cheap single-row fetch; cache-worthiness depends on parent volatility
54,Tugas,kategoriTugas,belongsTo,KategoriTugas,,,3,Occasionally eager-loaded,3,Low (admin-only occasional edits),Parent lookup — usually cheap single-row fetch; cache-worthiness depends on parent volatility
55,Tugas,pegawaiTerlibat,belongsToMany,Pegawai,tugas_pegawai,,0,Not eager-loaded (lazy/on-demand only),3,Low (admin-only occasional edits),Pivot-table join — most expensive to compute; prime candidate for caching if pivot rarely changes
56,Tugas,images,hasMany,TugasImage,,,0,Not eager-loaded (lazy/on-demand only),2,Low (admin-only occasional edits),Potential N+1 source if loaded in a loop — strong caching candidate if parent list is large
57,Tugas,disahkanOleh,belongsTo,User,,disahkan_oleh,1,Occasionally eager-loaded,12,High (frequent writes),Parent lookup — usually cheap single-row fetch; cache-worthiness depends on parent volatility
58,TugasImage,tugas,belongsTo,Tugas,,,0,Not eager-loaded (lazy/on-demand only),10,High (frequent writes),Parent lookup — usually cheap single-row fetch; cache-worthiness depends on parent volatility
59,TugasPegawai,tugas,belongsTo,Tugas,,,0,Not eager-loaded (lazy/on-demand only),10,High (frequent writes),Parent lookup — usually cheap single-row fetch; cache-worthiness depends on parent volatility
60,TugasPegawai,pegawai,belongsTo,Pegawai,,,90,Frequently eager-loaded,3,Low (admin-only occasional edits),Parent lookup — usually cheap single-row fetch; cache-worthiness depends on parent volatility
61,Unit,pegawai,hasOne,Pegawai,,,90,Frequently eager-loaded,3,Low (admin-only occasional edits),Single related row — check access frequency vs update frequency
62,Unit,pkg,belongsTo,Pkg,,,3,Occasionally eager-loaded,3,Low (admin-only occasional edits),Parent lookup — usually cheap single-row fetch; cache-worthiness depends on parent volatility
63,Unit,ppd,belongsTo,Ppd,,,0,Not eager-loaded (lazy/on-demand only),3,Low (admin-only occasional edits),Parent lookup — usually cheap single-row fetch; cache-worthiness depends on parent volatility
64,User,tugas,hasOne,Tugas,,,0,Not eager-loaded (lazy/on-demand only),10,High (frequent writes),Single related row — check access frequency vs update frequency
65,User,jabatan,belongsTo,Jabatan,,,57,Frequently eager-loaded,3,Low (admin-only occasional edits),Parent lookup — usually cheap single-row fetch; cache-worthiness depends on parent volatility
66,User,pegawai,belongsTo,Pegawai,,,90,Frequently eager-loaded,3,Low (admin-only occasional edits),Parent lookup — usually cheap single-row fetch; cache-worthiness depends on parent volatility
67,User,activityLogs,hasMany,ActivityLog,,,0,Not eager-loaded (lazy/on-demand only),1,Low (admin-only occasional edits),Potential N+1 source if loaded in a loop — strong caching candidate if parent list is large
"Highlighted rows = no eager-load call found anywhere in Controllers (likely lazy-loaded on access, N+1 risk if used inside a loop — verify manually in Phase 1).",,,,,,,,,,,
